2,Facebook,"717,086","24,727",C,Top
4,Google,"572,975","19,757",C,Top
10,Amazon.com,"359,413","12,393",B,High
11,Apple Inc.,"357,496","12,327",B,Top
16,Epic Games,"325,959","11,239",B,Mid
17,The Walt Disney Company,"309,239","10,663",C,Top
20,Marvel Studios,"256,056","8,829",C,Mid
21,Twitter,"251,035","8,656",GA,High
23,Anthem Inc.,"248,413","8,565",C,Low
25,McDonald's,"222,321","7,666",B,Top
27,Microsoft,"213,715","7,369",B,Top
30,Wal-Mart,"175,779","6,061",B,Top
32,SpaceX,"163,889","5,651",B,Mid
33,Warner Bros.,"163,472","5,636",C,High
34,Nike,"163,464","5,636",C,High
37,Uber,"160,419","5,531",B,Mid
38,Berkshire Hathaway,"160,096","5,520",B,Top
39,Mercedes Benz,"156,925","5,411",C,Mid
40,Gerdau,"152,289","5,251",Start,Low
41,MySQL AB,"156,925","5,411",C,Mid
43,BMW,"150,796","5,199",C,High
48,Samsung,"144,062","4,967",B,Top
49,Ford Motor Company,"140,010","4,827",B,Top
52,Boeing,"135,959","4,688",B,Top
53,Adidas,"135,210","4,662",C,Mid
56,Toyota,"132,113","4,555",C,Top
57,Lamborghini,"129,953","4,481",B,Mid
59,IBM,"127,299","4,389",B,Top
63,Starbucks,"122,727","4,231",B,Mid
65,Nintendo,"115,369","3,978",B,High
68,Yahoo!,"112,877","3,892",C,Top
69,General Motors,"112,617","3,883",C,Top
70,Accenture,"112,501","3,879",B,High
71,AT&T Inc.,"111,930","3,859",B,Top
73,Playboy Enterprises,"110,920","3,824",C,Mid
76,SingTel,"110,920","3,824",C,Mid
79,PepsiCo,"106,874","3,685",B,Top
80,JP Morgan Chase,"106,671","3,678",B,Top
81,American Airlines Group,"106,671","3,678",C,High
82,Delta Air Lines,"106,271","3,664",C,High
85,Oracle Corporation,"104,615","3,607",B,High
89,Canadian Broadcasting Corporation,"101,203","3,489",B,Low
90,YG Entertainment,"100,650","3,470",Start,High
92,Vodafone,"99,330","3,425",C,Top
93,State Bank of India,"99,329","3,425",C,Low
94,Sony,"98,450","3,394",B,Top
96,Volkswagen,"97,613","3,365",B,Top
98,Nokia,"96,752","3,336",B,High
101,Hindalco,"96,650","3,332",C,Low
103,Reliance Industries Limited,"95,830","3,304",C,Mid
105,Daimler AG,"95,548","3,294",C,Top
110,The Coca-Cola Company,"94,256","3,250",B,Top
